ticker,symbol,name,sector,industry,marketCapCr
DIACABS.NS,DIACABS,"Diamond Power Infrastructure Limited","Industrials","Specialty Industrial Machinery",7371
MTARTECH.NS,MTARTECH,"MTAR Technologies Limited","Industrials","Specialty Industrial Machinery",7324
MAXESTATES.NS,MAXESTATES,"MAX ESTATES LIMITED","Real Estate","Real Estate - Development",7309
THYROCARE.NS,THYROCARE,"Thyrocare Technologies Limited","Healthcare","Diagnostics & Research",7308
SAREGAMA.NS,SAREGAMA,"Saregama India Limited","Communication Services","Entertainment",7290
POWERMECH.NS,POWERMECH,"Power Mech Projects Limited","Industrials","Engineering & Construction",7284
GNFC.NS,GNFC,"Gujarat Narmada Valley Fertilizers & Chemicals Limited","Basic Materials","Chemicals",7248
KALPATARU.NS,KALPATARU,"KALPATARU LIMITED","Real Estate","Real Estate - Development",7199
ASHAPURMIN.NS,ASHAPURMIN,"Ashapura Minechem Limited","Basic Materials","Other Industrial Metals & Mining",7174
INDIAGLYCO.NS,INDIAGLYCO,"India Glycols Limited","Basic Materials","Chemicals",7164
DBL.NS,DBL,"Dilip Buildcon Limited","Industrials","Engineering & Construction",7154
TIPSMUSIC.NS,TIPSMUSIC,"Tips Music Limited","Communication Services","Entertainment",7073
JAYNECOIND.NS,JAYNECOIND,"Jayaswal Neco Industries Limited","Basic Materials","Steel",7061
GALAXYSURF.NS,GALAXYSURF,"Galaxy Surfactants Limited","Basic Materials","Specialty Chemicals",7046
ATLANTAELE.NS,ATLANTAELE,"ATLANTA ELECTRICALS LTD","Industrials","Electrical Equipment & Parts",7008
WELENT.NS,WELENT,"Welspun Enterprises Limited","Industrials","Engineering & Construction",6968
EPL.NS,EPL,"EPL Limited","Consumer Cyclical","Packaging & Containers",6930
REDTAPE.NS,REDTAPE,"REDTAPE Limited","Consumer Cyclical","Footwear & Accessories",6930
CERA.NS,CERA,"Cera Sanitaryware Limited","Industrials","Building Products & Equipment",6902
AJAXENGG.NS,AJAXENGG,"AJAX ENGINEERING LIMITED","Industrials","Farm & Heavy Construction Machinery",6890
GSFC.NS,GSFC,"Gujarat State Fertilizers & Chemicals Limited","Basic Materials","Agricultural Inputs",6871
FDC.NS,FDC,"FDC Limited","Healthcare","Drug Manufacturers - Specialty & Generic",6852
ARVINDFASN.NS,ARVINDFASN,"Arvind Fashions Limited","Consumer Cyclical","Apparel Manufacturing",6852
AARTIPHARM.NS,AARTIPHARM,"Aarti Pharmalabs Limited","Healthcare","Drug Manufacturers - Specialty & Generic",6843
THOMASCOOK.NS,THOMASCOOK,"Thomas Cook (India) Limited","Consumer Cyclical","Travel Services",6790
KIRLPNU.NS,KIRLPNU,"Kirloskar Pneumatic Company Limited","Industrials","Specialty Industrial Machinery",6777
GANESHHOU.NS,GANESHHOU,"Ganesh Housing Limited","Real Estate","Real Estate - Development",6772
MASTEK.NS,MASTEK,"Mastek Limited","Technology","Information Technology Services",6759
RUSTOMJEE.NS,RUSTOMJEE,"Keystone Realtors Limited","Real Estate","Real Estate - Development",6736
YATHARTH.NS,YATHARTH,"Yatharth Hospital & Trauma Care Services Limited","Healthcare","Medical Care Facilities",6700
GARFIBRES.NS,GARFIBRES,"Garware Technical Fibres Limited","Consumer Cyclical","Textile Manufacturing",6695
EQUITASBNK.NS,EQUITASBNK,"Equitas Small Finance Bank Limited","Financial Services","Banks - Regional",6653
MOIL.NS,MOIL,"MOIL Limited","Basic Materials","Other Industrial Metals & Mining",6632
CSBBANK.NS,CSBBANK,"CSB Bank Limited","Financial Services","Banks - Regional",6624
PNCINFRA.NS,PNCINFRA,"PNC Infratech Limited","Industrials","Engineering & Construction",6589
NETWORK18.NS,NETWORK18,"Network18 Media & Investments Limited","Communication Services","Entertainment",6559
AVL.NS,AVL,"Aditya Vision Limited","Consumer Cyclical","Specialty Retail",6548
GREENLAM.NS,GREENLAM,"Greenlam Industries Limited","Consumer Cyclical","Furnishings, Fixtures & Appliances",6524
RAYMONDLSL.NS,RAYMONDLSL,"Raymond Lifestyle Limited","Consumer Cyclical","Apparel Manufacturing",6523
IFBIND.NS,IFBIND,"IFB Industries Limited","Consumer Cyclical","Furnishings, Fixtures & Appliances",6501
OSWALPUMPS.NS,OSWALPUMPS,"OSWAL PUMPS LIMITED","Industrials","Electrical Equipment & Parts",6458
AKUMS.NS,AKUMS,"AKUMS DRUGS AND PHARMA L","Healthcare","Drug Manufacturers - Specialty & Generic",6449
PRSMJOHNSN.NS,PRSMJOHNSN,"Prism Johnson Limited","Basic Materials","Building Materials",6423
AHLUCONT.NS,AHLUCONT,"Ahluwalia Contracts (India) Limited","Industrials","Engineering & Construction",6380
SHILPAMED.NS,SHILPAMED,"Shilpa Medicare Limited","Healthcare","Drug Manufacturers - Specialty & Generic",6367
DBREALTY.NS,DBREALTY,"Valor Estate Limited","Real Estate","Real Estate - Development",6363
PRAJIND.NS,PRAJIND,"Praj Industries Limited","Industrials","Engineering & Construction",6356
WAKEFIT.NS,WAKEFIT,"N/A","Consumer Cyclical","Furnishings, Fixtures & Appliances",6339
HNDFDS.NS,HNDFDS,"Hindustan Foods Limited","Industrials","Conglomerates",6335
SUPRAJIT.NS,SUPRAJIT,"Suprajit Engineering Limited","Consumer Cyclical","Auto Parts",6324
ACI.NS,ACI,"Archean Chemical Industries Limited","Basic Materials","Chemicals",6282
JKPAPER.NS,JKPAPER,"JK Paper Limited","Basic Materials","Paper & Paper Products",6195
AURIONPRO.NS,AURIONPRO,"Aurionpro Solutions Limited","Technology","Software - Infrastructure",6169
SFL.NS,SFL,"Sheela Foam Limited","Consumer Cyclical","Furnishings, Fixtures & Appliances",6168
EPIGRAL.NS,EPIGRAL,"Epigral Limited","Basic Materials","Chemicals",6125
MHRIL.NS,MHRIL,"Mahindra Holidays & Resorts India Limited","Consumer Cyclical","Resorts & Casinos",6113
RELINFRA.NS,RELINFRA,"Reliance Infrastructure Limited","Utilities","Utilities - Independent Power Producers",6108
GOKEX.NS,GOKEX,"Gokaldas Exports Limited","Consumer Cyclical","Apparel Manufacturing",6041
JUSTDIAL.NS,JUSTDIAL,"Just Dial Limited","Communication Services","Internet Content & Information",6028
FIEMIND.NS,FIEMIND,"Fiem Industries Limited","Consumer Cyclical","Auto Parts",6025
ISGEC.NS,ISGEC,"Isgec Heavy Engineering Limited","Industrials","Specialty Industrial Machinery",6021
VMART.NS,VMART,"V-Mart Retail Limited","Consumer Cyclical","Department Stores",6006
DYNAMATECH.NS,DYNAMATECH,"Dynamatic Technologies Limited","Consumer Cyclical","Auto Parts",6002
LGBBROSLTD.NS,LGBBROSLTD,"L.G. Balakrishnan & Bros Limited","Consumer Cyclical","Auto Parts",5956
SYMPHONY.NS,SYMPHONY,"Symphony Limited","Consumer Cyclical","Furnishings, Fixtures & Appliances",5937
GULFOILLUB.NS,GULFOILLUB,"Gulf Oil Lubricants India Limited","Basic Materials","Specialty Chemicals",5915
INFIBEAM.NS,INFIBEAM,"Infibeam Avenues Limited","Technology","Software - Infrastructure",5900
SUPRIYA.NS,SUPRIYA,"Supriya Lifescience Limited","Healthcare","Biotechnology",5868
SUNTECK.NS,SUNTECK,"Sunteck Realty Limited","Real Estate","Real Estate - Development",5854
CRAMC.NS,CRAMC,"CANARA ROBECO AMC LIMITED","Financial Services","Asset Management",5837
INDIGOPNTS.NS,INDIGOPNTS,"Indigo Paints Limited","Basic Materials","Specialty Chemicals",5836
SURYAROSNI.NS,SURYAROSNI,"Surya Roshni Limited","Basic Materials","Steel",5830
HMT.NS,HMT,"HMT Limited","Industrials","Farm & Heavy Construction Machinery",5816
ICRA.NS,ICRA,"ICRA Limited","Financial Services","Financial Data & Stock Exchanges",5792
RAJESHEXPO.NS,RAJESHEXPO,"Rajesh Exports Limited","Consumer Cyclical","Luxury Goods",5780
MASFIN.NS,MASFIN,"MAS Financial Services Limited","Financial Services","Credit Services",5769
JAIBALAJI.NS,JAIBALAJI,"Jai Balaji Industries Limited","Basic Materials","Steel",5738
PILANIINVS.NS,PILANIINVS,"Pilani Investment and Industries Corporation Limited","Financial Services","Asset Management",5737
JUNIPER.NS,JUNIPER,"Juniper Hotels Limited","Consumer Cyclical","Lodging",5737
PURVA.NS,PURVA,"Puravankara Limited","Real Estate","Real Estate - Development",5736
CMSINFO.NS,CMSINFO,"CMS Info Systems Limited","Industrials","Specialty Business Services",5722
AVALON.NS,AVALON,"Avalon Technologies Limited","Technology","Electronic Components",5687
GOKULAGRO.NS,GOKULAGRO,"Gokul Agro Resources Limited","Consumer Defensive","Packaged Foods",5685
RENUKA.NS,RENUKA,"Shree Renuka Sugars Limited","Consumer Defensive","Confectioners",5620
RTNINDIA.NS,RTNINDIA,"RattanIndia Enterprises Limited","Consumer Cyclical","Internet Retail",5598
MIDHANI.NS,MIDHANI,"Mishra Dhatu Nigam Limited","Basic Materials","Steel",5594
SUBROS.NS,SUBROS,"Subros Limited","Consumer Cyclical","Auto Parts",5543
BAJAJELEC.NS,BAJAJELEC,"Bajaj Electricals Limited","Consumer Cyclical","Furnishings, Fixtures & Appliances",5516
ICIL.NS,ICIL,"Indo Count Industries Limited","Consumer Cyclical","Textile Manufacturing",5510
PICCADIL.NS,PICCADIL,"Piccadily Agro Industries Limited","Consumer Defensive","Beverages - Wineries & Distilleries",5493
NIITMTS.NS,NIITMTS,"NIIT Learning Systems Limited","Consumer Defensive","Education & Training Services",5477
MIDWESTLTD.NS,MIDWESTLTD,"MIDWEST LIMITED","Basic Materials","Building Materials",5407
SMARTWORKS.NS,SMARTWORKS,"SMARTWORKS COWORKING SP L","Real Estate","Real Estate Services",5396
SHREEJISPG.NS,SHREEJISPG,"SHREEJI SHIPPING GLOBAL L","Industrials","Marine Shipping",5390
DCBBANK.NS,DCBBANK,"DCB Bank Limited","Financial Services","Banks - Regional",5381
CAPILLARY.NS,CAPILLARY,"CAPILLARY TECHNO INDIA L","Technology","Software - Infrastructure",5371
DHANUKA.NS,DHANUKA,"Dhanuka Agritech Limited","Basic Materials","Agricultural Inputs",5364
SHARDAMOTR.NS,SHARDAMOTR,"Sharda Motor Industries Limited","Consumer Cyclical","Auto Parts",5363
AXISCADES.NS,AXISCADES,"AXISCADES Technologies Limited","Industrials","Engineering & Construction",5362
SEQUENT.NS,SEQUENT,"Sequent Scientific Limited","Healthcare","Drug Manufacturers - Specialty & Generic",5345
SMLMAH.NS,SMLMAH,"SML MAHINDRA LIMITED","Consumer Cyclical","Auto Manufacturers",5314
GAEL.NS,GAEL,"Gujarat Ambuja Exports Limited","Consumer Defensive","Packaged Foods",5299
SJS.NS,SJS,"S.J.S. Enterprises Limited","Consumer Cyclical","Auto Parts",5296
QPOWER.NS,QPOWER,"QUALITY POWER ELEC EQUP L","Industrials","Electrical Equipment & Parts",5261
RALLIS.NS,RALLIS,"Rallis India Limited","Basic Materials","Agricultural Inputs",5249
PARAS.NS,PARAS,"Paras Defence and Space Technologies Limited","Industrials","Aerospace & Defense",5227
FEDFINA.NS,FEDFINA,"Fedbank Financial Services Limited","Financial Services","Credit Services",5219
RESPONIND.NS,RESPONIND,"Responsive Industries Limited","Basic Materials","Specialty Chemicals",5208
SENCO.NS,SENCO,"Senco Gold Limited","Consumer Cyclical","Luxury Goods",5207
GHCL.NS,GHCL,"GHCL Limited","Basic Materials","Chemicals",5197
MANINFRA.NS,MANINFRA,"Man Infraconstruction Limited","Industrials","Engineering & Construction",5185
TEXRAIL.NS,TEXRAIL,"Texmaco Rail & Engineering Limited","Industrials","Railroads",5181
KINGFA.NS,KINGFA,"Kingfa Science & Technology (India) Limited","Basic Materials","Specialty Chemicals",5177
LUMAXIND.NS,LUMAXIND,"Lumax Industries Limited","Consumer Cyclical","Auto Parts",5134
JAMNAAUTO.NS,JAMNAAUTO,"Jamna Auto Industries Limited","Consumer Cyclical","Auto Parts",5105
RTNPOWER.NS,RTNPOWER,"RattanIndia Power Limited","Utilities","Utilities - Independent Power Producers",5080
PDSL.NS,PDSL,"PDS Limited","Industrials","Specialty Business Services",5058
CRIZAC.NS,CRIZAC,"CRIZAC LIMITED","Consumer Defensive","Education & Training Services",5042
SKYGOLD.NS,SKYGOLD,"Sky Gold and Diamonds Limited","Consumer Cyclical","Luxury Goods",5021
ZOTA.NS,ZOTA,"Zota Health Care Limited","Healthcare","Biotechnology",5019
VIPIND.NS,VIPIND,"V.I.P. Industries Limited","Consumer Cyclical","Footwear & Accessories",5017
CIGNITITEC.NS,CIGNITITEC,"Cigniti Technologies Limited","Technology","Information Technology Services",4993
ELLEN.NS,ELLEN,"ELLENBARRIE INDUS GASES L","Basic Materials","Chemicals",4983
VSTTILLERS.NS,VSTTILLERS,"V.S.T. Tillers Tractors Limited","Industrials","Farm & Heavy Construction Machinery",4966
RSYSTEMS.NS,RSYSTEMS,"R Systems International Limited","Technology","Information Technology Services",4954
SKIPPER.NS,SKIPPER,"Skipper Limited","Industrials","Engineering & Construction",4952
KSCL.NS,KSCL,"Kaveri Seed Company Limited","Basic Materials","Agricultural Inputs",4945
EMUDHRA.NS,EMUDHRA,"eMudhra Limited","Technology","Software - Application",4938
ASHOKA.NS,ASHOKA,"Ashoka Buildcon Limited","Industrials","Engineering & Construction",4929
HGINFRA.NS,HGINFRA,"H.G. Infra Engineering Limited","Industrials","Engineering & Construction",4923
TIIL.NS,TIIL,"Technocraft Industries (India) Limited","Industrials","Tools & Accessories",4922
SWSOLAR.NS,SWSOLAR,"Sterling and Wilson Renewable Energy Limited","Technology","Solar",4920
BANSALWIRE.NS,BANSALWIRE,"BANSAL WIRE INDUSTRIES L","Basic Materials","Steel",4918
SAATVIKGL.NS,SAATVIKGL,"Saatvik Green Energy Limited","Technology","Solar",4894
