ticker,symbol,name,sector,industry,marketCap,currency,exchange,quoteType,isin
BAJAJELEC.NS,BAJAJELEC,Bajaj Electricals Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",55155675136,INR,NSE,EQUITY,
BALAJEE.NS,BALAJEE,SHREE TIRUPATI BALAJEE L,Consumer Cyclical,Packaging & Containers,3170658816,INR,NSE,EQUITY,
BALKRISHNA.NS,BALKRISHNA,Balkrishna Paper Mills Limited,Consumer Cyclical,Packaging & Containers,654015936,INR,NSE,EQUITY,
BALKRISIND.NS,BALKRISIND,Balkrishna Industries Limited,Consumer Cyclical,Auto Parts,459534303232,INR,NSE,EQUITY,
BANARBEADS.NS,BANARBEADS,Banaras Beads Limited,Consumer Cyclical,Footwear & Accessories,863033216,INR,NSE,EQUITY,
BANCOINDIA.NS,BANCOINDIA,Banco Products (India) Limited,Consumer Cyclical,Auto Parts,101241249792,INR,NSE,EQUITY,
BANG.NS,BANG,Bang Overseas Limited,Consumer Cyclical,Apparel Manufacturing,671319104,INR,NSE,EQUITY,
BANSWRAS.NS,BANSWRAS,Banswara Syntex Limited,Consumer Cyclical,Textile Manufacturing,3884027392,INR,NSE,EQUITY,
BASML.NS,BASML,Bannari Amman Spinning Mills Ltd,Consumer Cyclical,Textile Manufacturing,2167467776,INR,NSE,EQUITY,
BATAINDIA.NS,BATAINDIA,Bata India Limited,Consumer Cyclical,Footwear & Accessories,121959784448,INR,NSE,EQUITY,
BBTCL.NS,BBTCL,B&B Triplewall Containers Limited,Consumer Cyclical,Packaging & Containers,4010972928,INR,NSE,EQUITY,
BCONCEPTS.NS,BCONCEPTS,Brand Concepts Limited,Consumer Cyclical,Footwear & Accessories,3884321280,INR,NSE,EQUITY,
BELLACASA.NS,BELLACASA,Bella Casa Fashion & Retail Limited,Consumer Cyclical,Textile Manufacturing,5230496256,INR,NSE,EQUITY,
BELRISE.NS,BELRISE,BELRISE INDUSTRIES LTD,Consumer Cyclical,Auto Parts,140333940736,INR,NSE,EQUITY,
BHANDARI.NS,BHANDARI,Bhandari Hosiery Exports Limited,Consumer Cyclical,Apparel Manufacturing,994209920,INR,NSE,EQUITY,
BHARATFORG.NS,BHARATFORG,Bharat Forge Limited,Consumer Cyclical,Auto Parts,678872481792,INR,NSE,EQUITY,
BHARATGEAR.NS,BHARATGEAR,Bharat Gears Limited,Consumer Cyclical,Auto Parts,1609069184,INR,NSE,EQUITY,
BHARATSE.NS,BHARATSE,Bharat Seats Limited,Consumer Cyclical,Auto Parts,11126122496,INR,NSE,EQUITY,
BIL.NS,BIL,Bhartiya International Ltd.,Consumer Cyclical,Footwear & Accessories,10028305408,INR,NSE,EQUITY,
BLUECOAST.NS,BLUECOAST,Blue Coast Hotels Limited,Consumer Cyclical,Lodging,635777024,INR,NSE,EQUITY,
BLUESTONE.NS,BLUESTONE,BLUESTONE JEWEL LFSTL LTD,Consumer Cyclical,Luxury Goods,75508867072,INR,NSE,EQUITY,
BOMDYEING.NS,BOMDYEING,The Bombay Dyeing and Manufacturing Company Limited,Consumer Cyclical,Textile Manufacturing,26735941632,INR,NSE,EQUITY,
BORANA.NS,BORANA,BORANA WEAVES LIMITED,Consumer Cyclical,Textile Manufacturing,7183571968,INR,NSE,EQUITY,
BOROLTD.NS,BOROLTD,Borosil Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",34965364736,INR,NSE,EQUITY,
BOROSCI.NS,BOROSCI,Borosil Scientific Limited,Consumer Cyclical,Packaging & Containers,10860357632,INR,NSE,EQUITY,
BOSCHLTD.NS,BOSCHLTD,Bosch Limited,Consumer Cyclical,Auto Parts,1069551845376,INR,NSE,EQUITY,
BRIGHOTEL.NS,BRIGHOTEL,BRIGADE HOTEL VENTURE LTD,Consumer Cyclical,Lodging,27337269248,INR,NSE,EQUITY,
BSL.NS,BSL,BSL Limited,Consumer Cyclical,Textile Manufacturing,1613091712,INR,NSE,EQUITY,
BUTTERFLY.NS,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",11865764864,INR,NSE,EQUITY,
BYKE.NS,BYKE,The Byke Hospitality Limited,Consumer Cyclical,Lodging,2699180288,INR,NSE,EQUITY,
CAMPUS.NS,CAMPUS,Campus Activewear Limited,Consumer Cyclical,Footwear & Accessories,80064217088,INR,NSE,EQUITY,
CANTABIL.NS,CANTABIL,Cantabil Retail India Limited,Consumer Cyclical,Apparel Manufacturing,21898113024,INR,NSE,EQUITY,
CARRARO.NS,CARRARO,CARRARO INDIA LIMITED,Consumer Cyclical,Auto Parts,30082994176,INR,NSE,EQUITY,
CARTRADE.NS,CARTRADE,CarTrade Tech Limited,Consumer Cyclical,Auto & Truck Dealerships,131252305920,INR,NSE,EQUITY,
CARYSIL.NS,CARYSIL,Carysil Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",25797445632,INR,NSE,EQUITY,
CCHHL.NS,CCHHL,Country Club Hospitality & Holidays Limited,Consumer Cyclical,Lodging,2525530112,INR,NSE,EQUITY,
