ticker,symbol,name,sector,industry,marketCap,currency,exchange,quoteType,isin
INOXWIND.NS,INOXWIND,Inox Wind Limited,Industrials,Specialty Industrial Machinery,219347943424,INR,NSE,EQUITY,
INTERARCH.NS,INTERARCH,Interarch Building Solutions Limited,Industrials,Engineering & Construction,40544276480,INR,NSE,EQUITY,
INTLCONV.NS,INTLCONV,International Conveyors Limited,Industrials,Specialty Industrial Machinery,5752279552,INR,NSE,EQUITY,
IONEXCHANG.NS,IONEXCHANG,Ion Exchange (India) Limited,Industrials,Pollution & Treatment Controls,48741920768,INR,NSE,EQUITY,
IRB.NS,IRB,IRB Infrastructure Developers Limited,Industrials,Infrastructure Operations,250256506880,INR,NSE,EQUITY,
IRCON.NS,IRCON,Ircon International Limited,Industrials,Engineering & Construction,144162242560,INR,NSE,EQUITY,
IRCTC.NS,IRCTC,Indian Railway Catering & Tourism Corporation Limited,Industrials,Railroads,536839979008,INR,NSE,EQUITY,
ISGEC.NS,ISGEC,Isgec Heavy Engineering Limited,Industrials,Specialty Industrial Machinery,60208144384,INR,NSE,EQUITY,
JASH.NS,JASH,Jash Engineering Limited,Industrials,Specialty Industrial Machinery,27237916672,INR,NSE,EQUITY,
JAYKAY.NS,JAYKAY,Jaykay Enterprises Limited,Industrials,Specialty Business Services,0,INR,NSE,EQUITY,
JETFREIGHT.NS,JETFREIGHT,Jet Freight Logistics Limited,Industrials,Integrated Freight & Logistics,832947968,INR,NSE,EQUITY,
JISLDVREQS.NS,JISLDVREQS,Jain Irrigation Systems Limited,Industrials,Conglomerates,34559819776,INR,NSE,EQUITY,
JISLJALEQS.NS,JISLJALEQS,Jain Irrigation Systems Limited,Industrials,Conglomerates,29978167296,INR,NSE,EQUITY,
JITFINFRA.NS,JITFINFRA,JITF Infralogistics Limited,Industrials,Engineering & Construction,7168891904,INR,NSE,EQUITY,
JKIL.NS,JKIL,J. Kumar Infraprojects Limited,Industrials,Engineering & Construction,41650077696,INR,NSE,EQUITY,
