ticker,symbol,name,sector,industry,marketCap,currency,exchange,quoteType,isin
OBEROIRLTY.NS,OBEROIRLTY,Oberoi Realty Limited,Real Estate,Real Estate - Development,591825928192,INR,NSE,EQUITY,
OMAXE.NS,OMAXE,Omaxe Limited,Real Estate,Real Estate - Development,11942048768,INR,NSE,EQUITY,
OSWALAGRO.NS,OSWALAGRO,Oswal Agro Mills Limited,Real Estate,Real Estate - Development,7804320768,INR,NSE,EQUITY,
PANSARI.NS,PANSARI,Pansari Developers Limited,Real Estate,Real Estate - Development,5428571648,INR,NSE,EQUITY,
PARSVNATH.NS,PARSVNATH,Parsvnath Developers Limited,Real Estate,Real Estate - Development,5179784704,INR,NSE,EQUITY,
PENINLAND.NS,PENINLAND,Peninsula Land Limited,Real Estate,Real Estate - Development,8545318912,INR,NSE,EQUITY,
PHOENIXLTD.NS,PHOENIXLTD,The Phoenix Mills Limited,Real Estate,Real Estate - Diversified,636882583552,INR,NSE,EQUITY,
PRAENG.NS,PRAENG,Prajay Engineers Syndicate Limited,Real Estate,Real Estate - Development,2133068288,INR,NSE,EQUITY,
PRESTIGE.NS,PRESTIGE,Prestige Estates Projects Limited,Real Estate,Real Estate - Diversified,701185785856,INR,NSE,EQUITY,
PROZONER.NS,PROZONER,Prozone Realty Limited,Real Estate,Real Estate - Diversified,8210034688,INR,NSE,EQUITY,
PTL.NS,PTL,PTL Enterprises Limited,Real Estate,Real Estate Services,5231539200,INR,NSE,EQUITY,
PURVA.NS,PURVA,Puravankara Limited,Real Estate,Real Estate - Development,57364135936,INR,NSE,EQUITY,
RAYMONDREL.NS,RAYMONDREL,Raymond Realty Limited,Real Estate,Real Estate - Development,32817424384,INR,NSE,EQUITY,
ROLLT.NS,ROLLT,Rollatainers Limited,Real Estate,Real Estate Services,350181984,INR,NSE,EQUITY,
RUSTOMJEE.NS,RUSTOMJEE,Keystone Realtors Limited,Real Estate,Real Estate - Development,67362975744,INR,NSE,EQUITY,
RVHL.NS,RVHL,Ravinder Heights Limited,Real Estate,Real Estate - Development,3581378560,INR,NSE,EQUITY,
SBGLP.NS,SBGLP,Suratwwala Business Group Limited,Real Estate,Real Estate - Development,6252786176,INR,NSE,EQUITY,
SCILAL.NS,SCILAL,Shipping Corporation of India Land and Assets Limited,Real Estate,Real Estate Services,21757470720,INR,NSE,EQUITY,
SHRADHA.NS,SHRADHA,Shradha Infraprojects Limited,Real Estate,Real Estate - Development,2285608704,INR,NSE,EQUITY,
SHRIRAMPPS.NS,SHRIRAMPPS,Shriram Properties Limited,Real Estate,Real Estate - Development,14349914112,INR,NSE,EQUITY,
SIGNATURE.NS,SIGNATURE,Signatureglobal (India) Limited,Real Estate,Real Estate - Development,157646094336,INR,NSE,EQUITY,
SMARTWORKS.NS,SMARTWORKS,SMARTWORKS COWORKING SP L,Real Estate,Real Estate Services,53956653056,INR,NSE,EQUITY,
SOBHA.NS,SOBHA,Sobha Limited,Real Estate,Real Estate - Development,156946137088,INR,NSE,EQUITY,
SUMIT.NS,SUMIT,Sumit Woods Limited,Real Estate,Real Estate - Development,3130334208,INR,NSE,EQUITY,
SUNTECK.NS,SUNTECK,Sunteck Realty Limited,Real Estate,Real Estate - Development,58536329216,INR,NSE,EQUITY,
SUPREME.NS,SUPREME,Supreme Holdings & Hospitality (India) Limited,Real Estate,Real Estate - Development,3190255104,INR,NSE,EQUITY,
SURAJEST.NS,SURAJEST,SURAJ ESTATE DEVELOPERS L,Real Estate,Real Estate - Development,12458180608,INR,NSE,EQUITY,
TARC.NS,TARC,TARC Limited,Real Estate,Real Estate - Development,43990011904,INR,NSE,EQUITY,
TEXINFRA.NS,TEXINFRA,Texmaco Infrastructure & Holdings Limited,Real Estate,Real Estate Services,13374958592,INR,NSE,EQUITY,
TREL.NS,TREL,Transindia Real Estate Limited,Real Estate,Real Estate Services,7000620032,INR,NSE,EQUITY,
UMIYA-MRO.NS,UMIYA-MRO,Umiya Buildcon Limited,Real Estate,Real Estate - Development,1595478144,INR,NSE,EQUITY,
UNITECH.NS,UNITECH,Unitech Limited,Real Estate,Real Estate - Diversified,15530420224,INR,NSE,EQUITY,
VIPULLTD.NS,VIPULLTD,Vipul Limited,Real Estate,Real Estate - Diversified,1557289344,INR,NSE,EQUITY,
WEWORK.NS,WEWORK,WEWORK INDIA MANAGEMENT L,Real Estate,Real Estate Services,78356701184,INR,NSE,EQUITY,
